"runid","iterid","K","M","d","D","e","t","hood_no","score"
6,62,29,0,0,0,2,2,4,32664
6,63,29,0,0,0,2,2,4,32664
6,64,29,0,0,0,2,2,4,32664
6,65,29,1,0,2,2,2,5,33215
6,66,29,1,0,2,2,2,5,33215
6,67,29,1,0,2,2,2,5,33215
6,68,29,1,0,2,2,2,5,33215
6,69,29,1,0,2,2,2,5,33215
6,70,29,1,0,2,2,2,6,33215
6,71,29,1,0,2,2,2,6,33215
6,72,29,1,0,2,2,2,6,33215
6,73,29,1,0,2,2,2,6,33215
6,74,29,1,0,2,2,2,6,33215
6,75,29,1,0,2,2,2,7,33215
6,76,29,1,0,2,2,2,7,33215
6,77,29,1,0,2,2,2,7,33215
6,78,29,1,0,2,2,2,7,33215
6,79,29,1,0,2,2,2,7,33215
6,80,29,1,0,2,2,2,8,33215
6,81,29,1,0,2,2,2,8,33215
6,82,29,1,0,2,2,2,8,33215
6,83,29,1,0,2,2,2,8,33215
6,84,29,1,0,2,2,2,8,33215
6,85,29,1,0,2,2,2,9,33215
6,86,29,1,0,2,2,2,9,33215
6,87,29,1,0,2,2,2,9,33215
6,88,29,1,0,2,2,2,9,33215
6,89,29,1,0,2,2,2,9,33215
6,90,29,1,0,2,2,2,10,33215
6,91,29,1,0,2,2,2,10,33215
6,92,29,1,0,2,2,2,10,33215
6,93,29,1,0,2,2,2,10,33215
6,94,29,1,0,2,2,2,10,33215
6,95,29,1,0,2,2,2,11,33215
6,96,29,1,0,2,2,2,11,33215
6,97,29,1,0,2,2,2,11,33215
6,98,29,1,0,2,2,2,11,33215
6,99,29,1,0,2,2,2,11,33215
6,100,29,1,0,2,2,2,12,33215
6,101,29,1,0,2,2,2,12,33215
6,102,29,1,0,2,2,2,12,33215
6,103,29,1,0,2,2,2,12,33215
6,104,29,1,0,2,2,2,12,33215
6,105,29,1,0,2,2,2,13,33215
6,106,29,1,0,2,2,2,13,33215
6,107,29,1,0,2,2,2,13,33215
6,108,29,3,0,2,2,7,13,34428
7,1,29,3,2,2,12,2,1,17468
7,2,21,3,2,0,7,2,1,19941
7,3,21,3,2,0,7,2,1,19941
7,4,21,3,2,0,7,2,1,19941
7,5,21,3,2,0,7,2,1,19941
7,6,21,3,2,0,7,2,1,19941
7,7,21,3,2,0,7,2,1,19941
7,8,21,3,2,0,7,2,1,19941
7,9,21,3,2,0,7,2,1,19941
7,10,29,2,2,0,7,2,1,21313
7,11,29,2,2,0,7,2,1,21313
7,12,29,2,2,0,7,2,1,21313
7,13,29,2,2,0,7,2,1,21313
7,14,29,2,2,0,7,2,1,21313
7,15,29,2,2,0,7,2,1,21313
7,16,29,2,2,0,7,2,1,21313
7,17,29,3,2,2,7,2,1,21394
7,18,29,3,2,2,7,2,1,21394
7,19,29,3,2,2,7,2,1,21394
7,20,29,3,2,2,7,2,1,21394
7,21,29,3,2,2,7,2,1,21394
7,22,29,3,2,2,7,2,1,21394
7,23,29,3,2,2,7,2,1,21394
7,24,29,3,2,2,7,2,1,21394
7,25,29,3,2,2,7,2,1,21394
7,26,29,3,2,2,7,2,1,21394
7,27,29,3,2,2,7,2,1,21394
7,28,29,3,2,2,7,2,1,21394
7,29,29,3,2,2,7,2,1,21394
7,30,29,3,2,2,7,2,1,21394
7,31,29,3,2,2,7,2,1,21394
7,32,29,3,2,2,7,2,1,21394
7,33,29,3,2,2,7,2,1,21394
7,34,29,3,2,2,7,2,1,21394
7,35,29,3,2,2,7,2,1,21394
7,36,29,3,2,2,7,2,1,21394
7,37,29,3,2,2,7,2,1,21394
7,38,29,3,2,2,7,2,1,21394
7,39,29,3,2,2,7,2,1,21394
7,40,29,3,2,2,7,2,1,21394
7,41,29,3,2,2,7,2,1,21394
7,42,29,3,2,2,7,2,1,21394
7,43,29,3,2,2,7,2,1,21394
7,44,29,3,2,2,7,2,1,21394
7,45,29,3,2,2,7,2,1,21394
7,46,29,3,2,2,7,2,1,21394
7,47,29,3,2,2,7,2,1,21394
7,48,29,3,2,2,7,2,1,21394
7,49,29,3,2,2,7,2,1,21394
7,50,29,3,2,2,7,2,2,21394
7,51,29,3,2,2,7,2,2,21394
7,52,29,2,2,0,2,7,2,24133
7,53,29,2,2,0,2,7,2,24133
7,54,29,2,2,0,2,7,2,24133
7,55,29,2,2,0,2,7,3,24133
7,56,29,2,2,0,2,7,3,24133
7,57,21,2,0,2,2,2,3,31353
7,58,21,2,0,2,2,2,3,31353
7,59,21,3,0,0,2,2,3,31443
7,60,21,3,0,0,2,2,4,31443
7,61,21,3,0,0,2,2,4,31443
7,62,21,3,0,0,2,2,4,31443
7,63,29,3,0,0,2,2,4,34428
8,1,61,0,6,2,7,12,1,2758
8,2,53,0,6,0,2,12,1,5681
8,3,53,0,4,0,2,12,1,8268
8,4,53,0,4,0,2,12,1,8268
8,5,53,0,4,0,2,12,1,8268
8,6,53,0,4,0,2,12,1,8268
8,7,53,0,4,0,2,12,1,8268
8,8,53,0,4,0,2,12,1,8268
8,9,53,0,4,0,2,12,1,8268
8,10,53,0,4,0,2,12,1,8268
8,11,53,0,4,0,2,12,1,8268
8,12,53,0,4,0,2,12,1,8268
8,13,53,0,4,0,2,12,1,8268
8,14,53,0,4,0,2,12,1,8268
8,15,53,0,4,0,2,12,1,8268
8,16,53,0,4,0,2,12,1,8268
8,17,53,0,4,0,2,12,1,8268
8,18,53,0,4,0,2,12,1,8268
8,19,53,0,4,0,2,12,1,8268
8,20,53,0,4,0,2,12,1,8268
8,21,53,0,4,0,2,12,1,8268
8,22,53,0,4,0,2,12,1,8268
8,23,53,0,4,0,2,12,1,8268
8,24,53,0,4,0,2,12,1,8268
8,25,53,0,4,0,2,12,1,8268
8,26,53,0,4,0,2,12,1,8268
8,27,53,0,4,0,2,12,1,8268
8,28,53,0,4,0,2,12,1,8268
8,29,53,0,4,0,2,12,1,8268
8,30,53,0,4,0,2,12,1,8268
8,31,53,0,4,0,2,12,1,8268
8,32,53,0,4,0,2,12,1,8268
8,33,53,0,4,0,2,12,1,8268
8,34,53,0,4,0,2,12,1,8268
8,35,53,0,4,0,2,12,1,8268
8,36,53,0,4,0,2,12,1,8268
8,37,53,0,4,0,2,12,1,8268
8,38,53,0,4,0,2,12,1,8268
8,39,53,0,4,0,2,12,1,8268
8,40,53,0,4,0,2,12,1,8268
8,41,53,0,4,0,2,12,1,8268
8,42,53,0,4,0,2,12,1,8268
8,43,53,0,4,0,2,12,1,8268
8,44,53,0,4,0,2,12,1,8268
8,45,53,0,4,0,2,12,1,8268
8,46,53,0,4,0,2,12,1,8268
8,47,53,0,4,0,2,12,1,8268
8,48,53,0,4,0,2,12,1,8268
8,49,53,0,4,0,2,12,1,8268
8,50,53,0,4,0,2,12,2,8268
8,51,53,0,4,0,2,12,2,8268
8,52,45,0,0,0,2,7,2,23522
8,53,45,0,0,0,2,7,2,23522
8,54,45,0,0,0,2,7,2,23522
8,55,45,0,0,0,2,7,3,23522
8,56,45,0,0,0,2,7,3,23522
8,57,45,0,0,0,2,7,3,23522
8,58,45,0,0,0,2,7,3,23522
8,59,45,0,0,0,2,7,3,23522
8,60,37,0,0,2,2,2,4,28268
8,61,37,0,0,2,2,2,4,28268
8,62,37,0,0,2,2,2,4,28268
8,63,29,0,0,0,2,2,4,32664
8,64,29,0,0,0,2,2,4,32664
8,65,29,0,0,0,2,2,5,32664
8,66,29,1,0,0,2,2,5,33215
8,67,29,1,0,0,2,2,5,33215
8,68,29,1,0,0,2,2,5,33215
8,69,29,1,0,0,2,2,5,33215
8,70,29,1,0,0,2,2,6,33215
8,71,29,1,0,0,2,2,6,33215
8,72,29,1,0,0,2,2,6,33215
8,73,29,1,0,0,2,2,6,33215
8,74,29,1,0,0,2,2,6,33215
8,75,29,1,0,0,2,2,7,33215
8,76,29,1,0,0,2,2,7,33215
8,77,29,1,0,0,2,2,7,33215
8,78,29,1,0,0,2,2,7,33215
8,79,29,1,0,0,2,2,7,33215
8,80,29,1,0,0,2,2,8,33215
8,81,29,1,0,0,2,2,8,33215
8,82,29,1,0,0,2,2,8,33215
8,83,29,1,0,0,2,2,8,33215
8,84,29,1,0,0,2,2,8,33215
8,85,29,1,0,0,2,2,9,33215
8,86,29,1,0,0,2,2,9,33215
8,87,29,1,0,0,2,2,9,33215
8,88,29,1,0,0,2,2,9,33215
8,89,29,1,0,0,2,2,9,33215
8,90,29,1,0,0,2,2,10,33215
8,91,29,1,0,0,2,2,10,33215
8,92,29,1,0,0,2,2,10,33215
8,93,29,1,0,0,2,2,10,33215
8,94,29,1,0,0,2,2,10,33215
8,95,29,1,0,0,2,2,11,33215
8,96,29,1,0,0,2,2,11,33215
8,97,29,2,0,4,2,2,11,34096
8,98,29,2,0,4,2,2,11,34096
8,99,29,2,0,4,2,2,11,34096
8,100,29,2,0,4,2,2,12,34096
8,101,29,2,0,4,2,2,12,34096
8,102,29,2,0,4,2,2,12,34096
8,103,29,2,0,4,2,2,12,34096
8,104,29,2,0,4,2,2,12,34096
8,105,29,2,0,4,2,2,13,34096
8,106,29,2,0,4,2,2,13,34096
8,107,29,2,0,4,2,2,13,34096
8,108,29,2,0,4,2,2,13,34096
8,109,29,2,0,4,2,2,13,34096
8,110,29,2,0,4,2,2,14,34096
8,111,29,2,0,4,2,2,14,34096
8,112,29,2,0,4,2,2,14,34096
8,113,29,2,0,4,2,2,14,34096
8,114,29,2,0,4,2,2,14,34096
8,115,29,2,0,4,2,2,15,34096
8,116,29,2,0,4,2,2,15,34096
8,117,29,3,0,6,2,2,15,34428
9,2,69,1,6,6,7,7,1,393
9,3,69,1,4,6,12,7,1,1313
9,4,69,1,4,6,12,7,1,1313
9,5,69,1,4,6,12,7,1,1313
9,6,69,1,4,6,12,7,1,1313
9,7,69,1,4,6,12,7,1,1313
9,8,69,1,4,6,12,7,1,1313
9,9,69,1,4,6,12,7,1,1313
9,10,69,1,4,6,12,7,1,1313
9,11,69,1,4,6,12,7,1,1313
9,12,69,1,4,6,12,7,1,1313
9,13,69,1,4,6,12,7,1,1313
9,14,69,1,4,6,12,7,1,1313
9,15,69,1,4,6,12,7,1,1313
9,16,69,1,4,6,12,7,1,1313
9,17,69,1,4,6,12,7,1,1313
9,18,69,1,4,6,12,7,1,1313
9,19,69,1,4,6,12,7,1,1313
9,20,69,1,4,6,12,7,1,1313
9,21,69,1,4,6,12,7,1,1313
9,22,69,1,4,6,12,7,1,1313
9,23,69,1,4,6,12,7,1,1313
9,24,69,1,4,6,12,7,1,1313
9,25,69,1,4,6,12,7,1,1313
9,26,69,1,4,6,12,7,1,1313
9,27,69,1,4,6,12,7,1,1313
9,28,69,1,4,6,12,7,1,1313
9,29,69,1,4,6,12,7,1,1313
