a,b,c,hood_no,score
100,99,33,19,52935
100,99,33,19,52935
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,19,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,20,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,32,21,53336
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,21,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,22,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,23,53533
100,100,33,24,53533
100,100,33,24,53533
100,100,33,24,53533
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,24,53736
100,100,34,25,53736
100,100,34,25,53736
100,100,34,25,53736
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,25,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,36,26,53759
99,100,37,26,53980
99,100,37,26,53980
99,100,37,26,53980
99,100,37,26,53980
99,100,37,26,53980
99,100,37,26,53980
99,100,37,26,53980
