iteration,thread,score,best
58,3,-14.0,-8.0
59,3,-7.0,-7.0
60,3,-17.0,-7.0
61,3,-11.0,-7.0
62,3,-10.0,-7.0
63,3,-12.0,-7.0
64,3,-10.0,-7.0
65,3,-9.0,-7.0
66,3,-8.0,-7.0
67,3,-8.0,-7.0
68,3,-11.0,-7.0
69,3,-12.0,-7.0
70,3,-13.0,-7.0
71,3,-11.0,-7.0
72,3,-12.0,-7.0
73,3,-9.0,-7.0
74,3,-8.0,-7.0
75,3,-8.0,-7.0
76,3,-13.0,-7.0
77,3,-12.0,-7.0
78,3,-14.0,-7.0
79,3,-10.0,-7.0
80,3,-9.0,-7.0
81,3,-23.0,-7.0
82,3,-12.0,-7.0
83,3,-11.0,-7.0
84,3,-6.0,-6.0
85,3,-20.0,-6.0
86,3,-21.0,-6.0
87,3,-18.0,-6.0
88,3,-16.0,-6.0
89,3,-19.0,-6.0
90,3,-12.0,-6.0
91,3,-13.0,-6.0
92,3,-12.0,-6.0
93,3,-12.0,-6.0
94,3,-10.0,-6.0
95,3,-8.0,-6.0
96,3,-13.0,-6.0
97,3,-9.0,-6.0
98,3,-11.0,-6.0
99,3,-17.0,-6.0
100,3,-10.0,-6.0
101,3,-10.0,-6.0
102,3,-9.0,-6.0
103,3,-10.0,-6.0
104,3,-14.0,-6.0
105,3,-14.0,-6.0
106,3,-8.0,-6.0
107,3,-11.0,-6.0
108,3,-5.0,-5.0
109,3,-13.0,-5.0
0,4,-10.0,-10.0
1,4,-31.0,-31.0
2,4,-52.0,-52.0
3,4,-64.0,-52.0
4,4,-60.0,-52.0
5,4,-49.0,-49.0
6,4,-55.0,-49.0
7,4,-48.0,-48.0
8,4,-35.0,-35.0
9,4,-68.0,-35.0
10,4,-71.0,-35.0
11,4,-21.0,-21.0
12,4,-57.0,-21.0
13,4,-16.0,-16.0
14,4,-50.0,-16.0
15,4,-34.0,-16.0
16,4,-17.0,-16.0
17,4,-17.0,-16.0
18,4,-14.0,-14.0
19,4,-16.0,-14.0
20,4,-15.0,-14.0
21,4,-14.0,-14.0
22,4,-13.0,-13.0
23,4,-15.0,-13.0
24,4,-12.0,-12.0
25,4,-15.0,-12.0
26,4,-11.0,-11.0
27,4,-9.0,-9.0
28,4,-10.0,-9.0
29,4,-15.0,-9.0
30,4,-12.0,-9.0
31,4,-12.0,-9.0
32,4,-11.0,-9.0
33,4,-7.0,-7.0
34,4,-14.0,-7.0
35,4,-8.0,-7.0
36,4,-9.0,-7.0
37,4,-6.0,-6.0
38,4,-6.0,-6.0
39,4,-5.0,-5.0
40,4,-8.0,-5.0
41,4,-5.0,-5.0
42,4,-7.0,-5.0
43,4,-3.0,-3.0
44,4,-6.0,-3.0
45,4,-7.0,-3.0
46,4,-10.0,-3.0
47,4,-6.0,-3.0
48,4,-7.0,-3.0
49,4,-4.0,-3.0
50,4,-8.0,-3.0
51,4,-6.0,-3.0
52,4,-4.0,-3.0
53,4,-5.0,-3.0
54,4,-11.0,-3.0
55,4,-5.0,-3.0
56,4,-9.0,-3.0
57,4,-9.0,-3.0
58,4,-9.0,-3.0
59,4,-5.0,-3.0
60,4,-7.0,-3.0
61,4,-7.0,-3.0
62,4,-7.0,-3.0
63,4,-8.0,-3.0
64,4,-10.0,-3.0
65,4,-9.0,-3.0
66,4,-8.0,-3.0
67,4,-7.0,-3.0
68,4,-2.0,-2.0
69,4,-7.0,-2.0
70,4,-6.0,-2.0
71,4,-6.0,-2.0
72,4,-6.0,-2.0
73,4,-1.0,-1.0
74,4,-3.0,-1.0
75,4,-4.0,-1.0
76,4,-8.0,-1.0
77,4,-5.0,-1.0
78,4,-3.0,-1.0
79,4,-8.0,-1.0
